Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,SG_URB_PLAN,716,_T,_T,_T,PT,0,N,2014,100.0
2015,SG_URB_PLAN,716,_T,_T,_T,PT,0,N,2015,100.0
2016,SG_URB_PLAN,716,_T,_T,_T,PT,0,N,2016,100.0
2017,SG_URB_PLAN,716,_T,_T,_T,PT,0,N,2017,100.0
2018,SG_URB_PLAN,716,_T,_T,_T,PT,0,N,2018,100.0
2019,SG_URB_PLAN,716,_T,_T,_T,PT,0,N,2019,100.0
