Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,SL_CPA_YEMP,716,_T,_T,_T,RO,0,N,2014,1.0
2015,SL_CPA_YEMP,716,_T,_T,_T,RO,0,N,2015,1.0
2016,SL_CPA_YEMP,716,_T,_T,_T,RO,0,N,2016,1.0
2017,SL_CPA_YEMP,716,_T,_T,_T,RO,0,N,2017,1.0
2018,SL_CPA_YEMP,716,_T,_T,_T,RO,0,N,2018,1.0
2019,SL_CPA_YEMP,716,_T,_T,_T,RO,0,N,2019,1.0
