Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,SH_H2O_SAFE,716,_T,_T,_T,PT,0,N,2014,76.0
2015,SH_H2O_SAFE,716,_T,_T,_T,PT,0,N,2015,78.0
2017,SH_H2O_SAFE,716,_T,_T,_T,PT,0,N,2017,78.3
