Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,SL_TLF_NEET,716,_T,Y15T24,_T,PT,0,N,2014,27.4
2017,SL_TLF_NEET,716,_T,Y15T24,_T,PT,0,N,2017,22.1
