Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2015,SH_STA_BRTC,716,_T,_T,_T,PT,0,N,2015,78.0
2019,SH_STA_BRTC,716,_T,_T,_T,PT,0,N,2019,86.0
