Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2019,IT_MOB_OWN,716,F,_T,_T,PT,0,N,2019,72.0
2019,IT_MOB_OWN,716,M,_T,_T,PT,0,N,2019,73.0
