Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,SL_TLF_CHLDEC,716,_T,Y5T17,_T,PT,0,N,2014,4.7
2017,SL_TLF_CHLDEC,716,_T,Y5T17,_T,PT,0,N,2017,9.1
2019,SL_TLF_CHLDEC,716,_T,Y5T17,_T,PT,0,N,2019,27.9
