Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,SD_XPD_ESED,716,_T,_T,_T,PT,0,N,2014,36.6566251883454
2015,SD_XPD_ESED,716,_T,_T,_T,PT,0,N,2015,40.3765887834546
2016,SD_XPD_ESED,716,_T,_T,_T,PT,0,N,2016,32.5914871233359
2017,SD_XPD_ESED,716,_T,_T,_T,PT,0,N,2017,32.5914871233359
2015,AG_PRD_FIESMSI,716,_T,_T,_T,PT,0,N,2015,30.0
