Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,SL_EMP_PCAP,716,_T,_T,_T,PT,0,N,2014,5.1
2015,SL_EMP_PCAP,716,_T,_T,_T,PT,0,N,2015,5.02712202951238
2016,SL_EMP_PCAP,716,_T,_T,_T,PT,0,N,2016,2.77509859438108
2017,SL_EMP_PCAP,716,_T,_T,_T,PT,0,N,2017,3.81579182149032
2018,SL_EMP_PCAP,716,_T,_T,_T,PT,0,N,2018,2.76677123251685
